"id","geneSymbol","all_12","logFC","adj.P.Val","rnaseq","SYMBOL"
"ENSG00000137267","TUBB2A","black",1.87241191999972,0.00114619204041293,"up","TUBB2A"
"ENSG00000173465","SSSCA1","black",1.82068956608075,0.00319729541642575,"up","SSSCA1"
"ENSG00000151327","FAM177A1","black",1.61682144146768,0.00137938860600917,"up","FAM177A1"
"ENSG00000196428","TSC22D2","black",1.39952951281183,0.00999612866681562,"up","TSC22D2"
"ENSG00000008294","SPAG9","black",1.37267276861669,0.00301672244572563,"up","SPAG9"
"ENSG00000205189","ZBTB10","black",1.32281917487546,0.00328578294134792,"up","ZBTB10"
"ENSG00000157551","KCNJ15","black",1.25155443754474,0.00994301666082677,"up","KCNJ15"
"ENSG00000078177","N4BP2","black",1.23307818373478,0.00881045491661567,"up","N4BP2"
"ENSG00000138670","RASGEF1B","black",1.13496863064844,0.00400701456723055,"up","RASGEF1B"
"ENSG00000112297","AIM1","black",1.07522581104433,0.00981955006590866,"up","AIM1"
"ENSG00000161835","GRASP","black",0.989958798364291,0.00924939085919073,"up","GRASP"
"ENSG00000065809","FAM107B","black",0.906398167627904,0.0214600557566315,"up","FAM107B"
"ENSG00000204186","ZDBF2","black",0.852534541027656,0.0194902703606476,"up","ZDBF2"
"ENSG00000184588","PDE4B","black",0.776564690859991,0.0320583306339397,"up","PDE4B"
"ENSG00000070831","CDC42","black",0.755682738486012,0.0318003657201811,"up","CDC42"
"ENSG00000130844","ZNF331","black",0.744628047131787,0.0216673617533147,"up","ZNF331"
"ENSG00000102760","RGCC","black",0.723982465795193,0.0325674275154873,"up","RGCC"
"ENSG00000124224","PPP4R1L","black",0.703080258122303,0.106920021216669,"nc","PPP4R1L"
"ENSG00000060642","PIGV","black",0.690529809021799,0.0343960568610258,"up","PIGV"
"ENSG00000145632","PLK2","black",0.667326450565694,0.0713325631342647,"nc","PLK2"
"ENSG00000241058","NSUN6","black",0.661645459716893,0.0788737100433849,"nc","NSUN6"
"ENSG00000131196","NFATC1","black",0.655902740955284,0.0529762111247311,"nc","NFATC1"
"ENSG00000100650","SRSF5","black",0.63543572396149,0.0640028392006784,"nc","SRSF5"
"ENSG00000124508","BTN2A2","black",0.586091593623237,0.0795810324554613,"nc","BTN2A2"
"ENSG00000151422","FER","black",0.58329007836633,0.074581175998325,"nc","FER"
"ENSG00000134574","DDB2","black",0.579059067601747,0.0674959032331501,"nc","DDB2"
"ENSG00000129657","SEC14L1","black",0.557770651610919,0.0770993113921891,"nc","SEC14L1"
"ENSG00000140396","NCOA2","black",0.517328663604156,0.0700568419168556,"nc","NCOA2"
"ENSG00000130449","ZSWIM6","black",0.516703545650504,0.106344297026962,"nc","ZSWIM6"
"ENSG00000167065","DUSP18","black",0.516610131672681,0.159468475315105,"nc","DUSP18"
