"id","geneSymbol","all_12","logFC","adj.P.Val","rnaseq","SYMBOL"
"ENSG00000026508","CD44","green",2.20158146207931,0.000917628118060469,"up","CD44"
"ENSG00000115271","GCA","green",1.94470149763621,0.00114564790369835,"up","GCA"
"ENSG00000198743","SLC5A3","green",1.89953600626392,0.0151306036689412,"up","SLC5A3"
"ENSG00000196776","CD47","green",1.88217076526246,0.00150596805299599,"up","CD47"
"ENSG00000081320","STK17B","green",1.70921809578461,0.00124498245985838,"up","STK17B"
"ENSG00000138378","STAT4","green",1.68407381683752,0.00209271412527126,"up","STAT4"
"ENSG00000128656","CHN1","green",1.67023480039434,0.00120777047200863,"up","CHN1"
"ENSG00000173198","CYSLTR1","green",1.66141748104433,0.00116976820029575,"up","CYSLTR1"
"ENSG00000163565","IFI16","green",1.57008092996855,0.00247348404328174,"up","IFI16"
"ENSG00000136147","PHF11","green",1.55978015940033,0.00348129839832876,"up","PHF11"
"ENSG00000197321","SVIL","green",1.55125756044098,0.0188105591541311,"up","SVIL"
"ENSG00000135046","ANXA1","green",1.48069713850386,0.00398287232324852,"up","ANXA1"
"ENSG00000023445","BIRC3","green",1.45372586840382,0.00200994815628801,"up","BIRC3"
"ENSG00000152207","CYSLTR2","green",1.44941302818575,0.00288135029371816,"up","CYSLTR2"
"ENSG00000121578","B4GALT4","green",1.43168984023846,0.00231176565942681,"up","B4GALT4"
"ENSG00000163219","ARHGAP25","green",1.42560736726316,0.00326671009237505,"up","ARHGAP25"
"ENSG00000138496","PARP9","green",1.40901081712228,0.00269860660202585,"up","PARP9"
"ENSG00000113263","ITK","green",1.39332027894614,0.00315388531656105,"up","ITK"
"ENSG00000069493","CLEC2D","green",1.33498824061686,0.00415204121488144,"up","CLEC2D"
"ENSG00000049246","PER3","green",1.29398603858907,0.0123174800069307,"up","PER3"
"ENSG00000142102","ATHL1","green",1.28150387808427,0.00418739854404032,"up","ATHL1"
"ENSG00000103064","SLC7A6","green",1.26310790101834,0.00280999318663115,"up","SLC7A6"
"ENSG00000158987","RAPGEF6","green",1.23245325705678,0.00985580713230882,"up","RAPGEF6"
"ENSG00000083799","CYLD","green",1.20151649800427,0.00697997547917639,"up","CYLD"
"ENSG00000172175","MALT1","green",1.19830591631914,0.00527666810123985,"up","MALT1"
"ENSG00000196357","ZNF565","green",1.1899125503541,0.00534002850645682,"up","ZNF565"
"ENSG00000111331","OAS3","green",1.18427839632707,0.00980165430805164,"up","OAS3"
"ENSG00000010818","HIVEP2","green",1.16643407098104,0.00900958779201371,"up","HIVEP2"
"ENSG00000173598","NUDT4","green",1.14581325787176,0.00630840206766004,"up","NUDT4"
"ENSG00000198440","ZNF583","green",1.14370349862279,0.00758647180843728,"up","ZNF583"
