"id","geneSymbol","all_12","logFC","adj.P.Val","rnaseq","SYMBOL"
"ENSG00000109471","IL2","yellow",10.9803861310816,1.17052412425818e-05,"up","IL2"
"ENSG00000111537","IFNG","yellow",9.73652478010812,1.17052412425818e-05,"up","IFNG"
"ENSG00000115009","CCL20","yellow",8.28461839087852,1.38887541050506e-05,"up","CCL20"
"ENSG00000169194","IL13","yellow",8.14731190601074,2.1508035724361e-05,"up","IL13"
"ENSG00000136634","IL10","yellow",7.57670203821285,2.1508035724361e-05,"up","IL10"
"ENSG00000138684","IL21","yellow",7.50532334351942,2.86476276188243e-05,"up","IL21"
"ENSG00000164400","CSF2","yellow",6.84624038569159,1.38887541050506e-05,"up","CSF2"
"ENSG00000137265","IRF4","yellow",6.7558483517582,2.1508035724361e-05,"up","IRF4"
"ENSG00000110848","CD69","yellow",6.62258525843914,1.17052412425818e-05,"up","CD69"
"ENSG00000119508","NR4A3","yellow",6.33395036847446,2.02413914966858e-05,"up","NR4A3"
"ENSG00000049249","TNFRSF9","yellow",6.2732944786285,1.97541671689707e-05,"up","TNFRSF9"
"ENSG00000164949","GEM","yellow",6.11825671915556,2.1508035724361e-05,"up","GEM"
"ENSG00000050730","TNIP3","yellow",6.0128431664357,4.08375122022165e-05,"up","TNIP3"
"ENSG00000113525","IL5","yellow",5.98229720641485,2.86476276188243e-05,"up","IL5"
"ENSG00000127318","IL22","yellow",5.96447839917115,5.06568123739143e-05,"up","IL22"
"ENSG00000140968","IRF8","yellow",5.91519203153558,1.38887541050506e-05,"up","IRF8"
"ENSG00000113520","IL4","yellow",5.88560986882102,3.77148234539775e-05,"up","IL4"
"ENSG00000186827","TNFRSF4","yellow",5.7020192223668,2.1508035724361e-05,"up","TNFRSF4"
"ENSG00000168389","MFSD2A","yellow",5.68067275440418,2.1508035724361e-05,"up","MFSD2A"
"ENSG00000123358","NR4A1","yellow",5.67585915527434,2.7524985047316e-05,"up","NR4A1"
"ENSG00000140379","BCL2A1","yellow",5.59356442827291,1.38887541050506e-05,"up","BCL2A1"
"ENSG00000091972","CD200","yellow",5.51051937395493,2.1508035724361e-05,"up","CD200"
"ENSG00000122877","EGR2","yellow",5.42465338680424,2.86476276188243e-05,"up","EGR2"
"ENSG00000164399","IL3","yellow",5.41484671739125,2.31736528058284e-05,"up","IL3"
"ENSG00000204671","IL31","yellow",5.32362032033121,2.86476276188243e-05,"up","IL31"
"ENSG00000134460","IL2RA","yellow",5.31282388393418,2.1508035724361e-05,"up","IL2RA"
"ENSG00000141682","PMAIP1","yellow",5.25214200580105,3.37498162377379e-05,"up","PMAIP1"
"ENSG00000205020","CCL4L1","yellow",5.16090147870187,2.1508035724361e-05,"up","CCL4L1"
"ENSG00000143184","XCL1","yellow",4.98780596686265,4.83858004053981e-05,"up","XCL1"
"ENSG00000102471","NDFIP2","yellow",4.9864208671421,2.1508035724361e-05,"up","NDFIP2"
