Probe id,Gene Symbol,SYMBOL
11735223_a_at,KLRG1,KLRG1
11752490_x_at,NMUR1,NMUR1
11763755_a_at,GNLY,GNLY
11729977_a_at,CXCR6,CXCR6
11761128_a_at,YME1L1,YME1L1
11718766_at,PRSS23,PRSS23
11735864_a_at,CD160,CD160
11740156_a_at,SH2D1B,SH2D1B
11730119_at,CLDND2,CLDND2
11761683_x_at,PYHIN1,PYHIN1
11756292_a_at,CTSW,CTSW
11728728_s_at,ADRB2,ADRB2
11755732_a_at,SAMD3,SAMD3
11736632_at,APOBEC3H,APOBEC3H
11728847_a_at,TOGARAM2,TOGARAM2
11721695_s_at,DUSP2,DUSP2
11756818_a_at,PATL2,PATL2
11734111_at,TIGIT,TIGIT
11736472_a_at,ERBB2,ERBB2
11720602_at,SYT11,SYT11
11730611_at,MCOLN2,MCOLN2
11734141_at,GK5,GK5
11745403_a_at,ZNF683,ZNF683
11734178_a_at,NCR3,NCR3
11727325_a_at,GFI1,GFI1
11717955_a_at,STK39,STK39
11756877_a_at,GNGT2,GNGT2
11721760_a_at,TSEN54,TSEN54
11756277_a_at,YPEL1,YPEL1
11728125_a_at,GZMH,GZMH
11724900_a_at,GZMB,GZMB
11718364_a_at,ST6GALNAC6,ST6GALNAC6
11735552_at,FCRL6,FCRL6
11732555_at,FASLG,FASLG
11722635_at,IL2RB,IL2RB
11742301_x_at,KIR2DL3,KIR2DL3
11732927_x_at,KLRC1,KLRC1
11742216_a_at,KLRD1,KLRD1
11730060_a_at,LAG3,LAG3
11733087_a_at,MAF,MAF
11731227_a_at,MATK,MATK
11761264_x_at,TARP,TARP
11725861_a_at,MYBL1,MYBL1
11730722_a_at,NCAM1,NCAM1
11725416_at,NKG7,NKG7
11763051_s_at,RNF165,RNF165
11745699_a_at,KLRF1,KLRF1
11715852_at,PDGFRB,PDGFRB
11752664_a_at,S1PR5,S1PR5
11717467_a_at,TTC38,TTC38
11722879_a_at,PPP2R2B,PPP2R2B
11723973_at,CHST12,CHST12
11747295_a_at,PRF1,PRF1
11757982_s_at,KIF21A,KIF21A
11722840_s_at,LYAR,LYAR
11735589_at,PTGDR,PTGDR
11724042_a_at,PDZD4,PDZD4
11741358_a_at,PTPN4,PTPN4
11745903_a_at,SLAMF7,SLAMF7
11758217_s_at,ABHD17C,ABHD17C
11720281_a_at,EVA1C,EVA1C
11755697_a_at,LGR6,LGR6
11732275_at,CCL5,CCL5
11727604_a_at,EPB41L4A,EPB41L4A
11742905_a_at,DNAJC1,DNAJC1
11758222_s_at,SLC20A1,SLC20A1
11733215_a_at,STAT4,STAT4
11718901_at,TGFBR3,TGFBR3
11722602_at,PLEKHF1,PLEKHF1
11731196_a_at,PRR5L,PRR5L
11722855_at,PDGFD,PDGFD
11724424_at,GPR68,GPR68
11750731_a_at,EOMES,EOMES
11750086_s_at,FGFBP2,FGFBP2
11748505_a_at,NCALD,NCALD
11749980_x_at,HOPX,HOPX
11721498_a_at,TPST2,TPST2
11743428_a_at,RUNX3,RUNX3
11724885_at,CLIC3,CLIC3
11754777_a_at,SH2D2A,SH2D2A
11754408_s_at,LDB2,LDB2
11725455_at,CD247,CD247
11763495_s_at,TSPOAP1,TSPOAP1
11716395_a_at,ADGRG1,ADGRG1
11729787_at,SOX13,SOX13
11717355_a_at,FEZ1,FEZ1
11729736_a_at,JAKMIP2,JAKMIP2
