id,geneSymbol,all_12,logFC,adj.P.Val,rnaseq
ENSG00000000003,TSPAN6,brown,-0.753320289112982,0.0497078871488945,down
ENSG00000000419,DPM1,turquoise,0.737313787694667,0.0500553491311887,nc
ENSG00000000457,SCYL3,brown,-0.287889191416896,0.275242254972167,nc
ENSG00000000460,C1orf112,brown,0.149808210386547,0.648381078160254,nc
ENSG00000000938,FGR,blue,NA,NA,nd
ENSG00000000971,CFH,blue,-0.670652493336179,0.107186175404253,nc
ENSG00000001036,FUCA2,brown,-0.140967457618954,0.668996797695638,nc
ENSG00000001084,GCLC,turquoise,-0.32474718214547,0.229553340466536,nc
ENSG00000001167,NFYA,yellow,0.706591688674657,0.0269952348189192,up
ENSG00000001460,C1orf201,brown,NA,NA,nd
ENSG00000001461,NIPAL3,blue,-0.808421649654446,0.015482976804586,down
ENSG00000001497,LAS1L,turquoise,0.937043700340292,0.00836054574956357,up
ENSG00000001561,ENPP4,turquoise,0.372153137801148,0.184792358092644,nc
ENSG00000001629,ANKIB1,green,-0.266203480303817,0.362346336824695,nc
ENSG00000001630,CYP51A1,turquoise,1.65457742053698,0.00162358383037686,up
ENSG00000001631,KRIT1,brown,-0.227819408754377,0.452334238768949,nc
ENSG00000002016,RAD52,blue,-0.515426247176345,0.115613676157795,nc
ENSG00000002330,BAD,brown,-1.31038283542439,0.00248872608763658,down
ENSG00000002549,LAP3,turquoise,0.992155894380643,0.0103830008272974,up
ENSG00000002587,HS3ST1,grey,NA,NA,nd
ENSG00000002822,MAD1L1,grey,-0.902984780750773,0.0107784816275254,down
ENSG00000002834,LASP1,brown,-1.19021475100416,0.00908882886670299,down
ENSG00000002919,SNX11,turquoise,0.194447175886289,0.455149271657494,nc
ENSG00000003056,M6PR,turquoise,0.189969530223757,0.525647217201768,nc
ENSG00000003249,DBNDD1,grey,NA,NA,nd
ENSG00000003393,ALS2,brown,0.309882607689681,0.344460521235694,nc
ENSG00000003400,CASP10,red,0.771040450329774,0.0312051570227198,up
ENSG00000003402,CFLAR,yellow,2.8691911555758,0.000126693021412875,up
ENSG00000003509,C2orf56,blue,-0.35171166871216,0.200787463979717,nc
ENSG00000003756,RBM5,black,-0.11544686720943,0.704658515285803,nc
ENSG00000004059,ARF5,turquoise,-0.328500906870078,0.233031046168123,nc
ENSG00000004139,SARM1,brown,NA,NA,nd
ENSG00000004399,PLXND1,blue,-1.97134762551802,0.00124671946465207,down
ENSG00000004455,AK2,turquoise,1.25493182488984,0.005275058425437,up
ENSG00000004468,CD38,turquoise,0.00936869510446934,0.981213069327488,nc
ENSG00000004478,FKBP4,turquoise,1.98428622723117,0.000452691125428604,up
ENSG00000004487,KDM1A,turquoise,0.315416894452054,0.261764775583406,nc
ENSG00000004534,RBM6,blue,0.0712934008909374,0.79662216836479,nc
ENSG00000004660,CAMKK1,turquoise,NA,NA,nd
ENSG00000004700,RECQL,blue,-0.856175549782236,0.0181109472536202,down
ENSG00000004766,CCDC132,blue,-0.478802374343679,0.0994263317804753,nc
ENSG00000004777,ARHGAP33,grey,NA,NA,nd
ENSG00000004779,NDUFAB1,turquoise,1.23825573585827,0.00578189536150735,up
ENSG00000004838,ZMYND10,blue,NA,NA,nd
ENSG00000004848,ARX,grey,NA,NA,nd
ENSG00000004864,SLC25A13,turquoise,-0.109264239921773,0.815846954565855,nc
ENSG00000004866,ST7,turquoise,0.976189541007414,0.01895805782764,up
ENSG00000004897,CDC27,brown,-0.447362531916717,0.127936274572611,nc
ENSG00000004939,SLC4A1,grey,NA,NA,nd
ENSG00000004961,HCCS,turquoise,0.798537937708297,0.0165734505220464,up
ENSG00000004975,DVL2,turquoise,-0.283500366676337,0.402961911261143,nc
ENSG00000005001,PRSS22,grey,NA,NA,nd
ENSG00000005007,UPF1,yellow,0.669333089116226,0.032760725183154,up
ENSG00000005020,SKAP2,brown,NA,NA,nd
ENSG00000005022,SLC25A5,turquoise,0.881184926499437,0.0164922168843285,up
ENSG00000005059,CCDC109B,blue,-1.03405401945544,0.00788777834838077,down
ENSG00000005075,POLR2J,turquoise,-0.14773582722058,0.626016058923907,nc
ENSG00000005100,DHX33,turquoise,1.20078182940578,0.00878453486160154,up
ENSG00000005102,MEOX1,green,NA,NA,nd
ENSG00000005156,LIG3,turquoise,0.904901871730852,0.0117347871760821,up
ENSG00000005175,RPAP3,turquoise,0.25707317622733,0.37378674373285,nc
ENSG00000005187,ACSM3,blue,-0.410192451322075,0.145100345441121,nc
ENSG00000005194,CIAPIN1,turquoise,0.523803917391728,0.0766998027903308,nc
ENSG00000005206,SPPL2B,blue,-0.859414912356377,0.0233531706268697,down
ENSG00000005238,FAM214B,blue,NA,NA,nd
ENSG00000005243,COPZ2,turquoise,NA,NA,nd
ENSG00000005249,PRKAR2B,yellow,NA,NA,nd
ENSG00000005302,MSL3,red,0.372155023193545,0.222357172264352,nc
ENSG00000005339,CREBBP,black,-0.730920171218683,0.0311456076954218,down
ENSG00000005379,BZRAP1,blue,NA,NA,nd
ENSG00000005436,GCFC2,turquoise,0.959619607286829,0.0108223165164459,up
ENSG00000005448,WDR54,brown,-1.42765716773119,0.00326671009237505,down
ENSG00000005469,CROT,blue,-1.60094336766016,0.00117348976423444,down
ENSG00000005483,MLL5,black,0.251632049305308,0.416842256000182,nc
ENSG00000005486,RHBDD2,blue,0.460760797312678,0.334211129454827,nc
ENSG00000005513,SOX8,grey,NA,NA,nd
ENSG00000005700,IBTK,turquoise,-0.228228764777683,0.417599365635216,nc
ENSG00000005801,ZNF195,turquoise,0.926761749050882,0.0107726673671348,up
ENSG00000005810,MYCBP2,red,5.70672988773686e-05,0.999794579013107,nc
ENSG00000005812,FBXL3,blue,-0.61308008992061,0.0639962255412331,nc
ENSG00000005844,ITGAL,blue,-1.96394546607647,0.000466478627806622,down
ENSG00000005882,PDK2,blue,-1.31624958639776,0.0161001532208106,down
ENSG00000005884,ITGA3,turquoise,-0.42424947312373,0.235724840499765,nc
ENSG00000005889,ZFX,turquoise,-0.00585265177774457,0.984995838088344,nc
ENSG00000005893,LAMP2,brown,-0.442971376842898,0.139751888603078,nc
ENSG00000005955,GGNBP2,blue,-0.415015241275264,0.132452882856959,nc
ENSG00000006007,GDE1,brown,-0.96310860499371,0.0155525529860549,down
ENSG00000006015,C19orf60,brown,-0.246486228674385,0.364618204887235,nc
ENSG00000006016,CRLF1,grey,1.03091710534974,0.0123253144063605,up
ENSG00000006025,OSBPL7,blue,-1.05183586726266,0.0124471236421239,down
ENSG00000006042,TMEM98,grey,NA,NA,nd
ENSG00000006047,YBX2,grey,NA,NA,nd
ENSG00000006059,KRT33A,grey,NA,NA,nd
ENSG00000006062,MAP3K14,yellow,0.807664525494905,0.0299868367290649,up
ENSG00000006074,CCL18,grey,NA,NA,nd
ENSG00000006075,CCL3,turquoise,3.34859229965708,0.000105417254368903,up
ENSG00000006114,SYNRG,blue,-1.03176628579799,0.00582207518364345,down
ENSG00000006118,TMEM132A,grey,NA,NA,nd
ENSG00000006125,AP2B1,turquoise,0.300510200866641,0.281940895418466,nc
ENSG00000006194,ZNF263,blue,1.65324681059133,0.0009809505449232,up
ENSG00000006194,ZNF263,yellow,1.65324681059133,0.0009809505449232,up
ENSG00000006210,CX3CL1,grey,NA,NA,nd
ENSG00000006282,SPATA20,brown,-0.805372041067323,0.0482588138718318,down
ENSG00000006327,TNFRSF12A,yellow,1.25623904659291,0.0179175871120582,up
ENSG00000006377,DLX6,grey,NA,NA,nd
ENSG00000006432,MAP3K9,grey,NA,NA,nd
ENSG00000006451,RALA,yellow,0.146528884171735,0.605261578079767,nc
ENSG00000006453,BAIAP2L1,turquoise,NA,NA,nd
ENSG00000006459,JHDM1D,blue,-1.81147686177477,0.000652305335882201,down
ENSG00000006530,AGK,turquoise,0.415296384868517,0.194863593686213,nc
ENSG00000006555,TTC22,brown,NA,NA,nd
ENSG00000006576,PHTF2,green,0.563072191738653,0.0937071629908657,nc
ENSG00000006607,FARP2,turquoise,0.604383947363313,0.0856558095625179,nc
ENSG00000006625,GGCT,turquoise,0.823797591374844,0.0235727015386388,up
ENSG00000006634,DBF4,grey,0.0336327691962862,0.919787119628702,nc
ENSG00000006638,TBXA2R,blue,NA,NA,nd
ENSG00000006652,IFRD1,yellow,1.00544407339322,0.00945654432274127,up
ENSG00000006659,LGALS14,turquoise,NA,NA,nd
ENSG00000006695,COX10,turquoise,1.2061064181491,0.00874216146300092,up
ENSG00000006704,GTF2IRD1,grey,NA,NA,nd
ENSG00000006712,PAF1,yellow,1.35430862871645,0.00200532181065324,up
ENSG00000006715,VPS41,brown,-0.561162129826399,0.0649883022256797,nc
ENSG00000006744,ELAC2,turquoise,0.231181650246017,0.382305639770756,nc
ENSG00000006756,ARSD,grey,NA,NA,nd
ENSG00000006757,PNPLA4,brown,-0.523176549192518,0.132386605416619,nc
ENSG00000006831,ADIPOR2,turquoise,0.454866148631459,0.116256627125433,nc
ENSG00000007038,PRSS21,turquoise,NA,NA,nd
ENSG00000007047,MARK4,grey,-0.0211270212162398,0.94594698585504,nc
ENSG00000007080,CCDC124,turquoise,0.468106136484203,0.232866579843774,nc
ENSG00000007129,CEACAM21,blue,-1.24393704574171,0.00441891032978498,down
ENSG00000007168,PAFAH1B1,blue,-0.369659152058639,0.23893749299681,nc
ENSG00000007202,KIAA0100,turquoise,-0.0168728862871364,0.954933607516517,nc
ENSG00000007255,TRAPPC6A,blue,-0.447330919685944,0.108575438249084,nc
ENSG00000007264,MATK,turquoise,0.450462420684116,0.140915630926608,nc
ENSG00000007312,CD79B,brown,-2.19796650756665,0.000394631521004317,down
ENSG00000007314,SCN4A,grey,NA,NA,nd
ENSG00000007341,ST7L,blue,0.0297441886868553,0.919455201667714,nc
ENSG00000007350,TKTL1,blue,-1.51917705019957,0.00455812898712173,down
ENSG00000007376,RPUSD1,turquoise,-0.312729743639435,0.434176450906677,nc
ENSG00000007392,LUC7L,red,0.768076183226758,0.0238678520326676,up
ENSG00000007402,CACNA2D2,blue,NA,NA,nd
ENSG00000007516,BAIAP3,blue,-0.0145072878480829,0.971431236306894,nc
ENSG00000007520,C16orf42,turquoise,-0.382869836167989,0.162381400147198,nc
ENSG00000007541,PIGQ,brown,0.340190804819265,0.379786696703582,nc
ENSG00000007545,CRAMP1L,grey,-0.388570298452414,0.311364456156269,nc
ENSG00000007866,TEAD3,grey,NA,NA,nd
ENSG00000007923,DNAJC11,turquoise,0.863880325909034,0.0475411093974473,up
ENSG00000007944,MYLIP,green,0.0141970123254499,0.962360141086674,nc
ENSG00000008018,PSMB1,turquoise,0.568111575080993,0.075731296948398,nc
ENSG00000008056,SYN1,grey,NA,NA,nd
ENSG00000008083,JARID2,yellow,2.52958547802925,0.000179017381879564,up
ENSG00000008086,CDKL5,black,NA,NA,nd
ENSG00000008130,NADK,turquoise,1.26540793641462,0.00348129839832876,up
ENSG00000008226,DLEC1,blue,NA,NA,nd
ENSG00000008256,CYTH3,black,-0.857022939675649,0.0356746892223045,down
ENSG00000008277,ADAM22,blue,-0.41351301534034,0.303805467619499,nc
ENSG00000008282,SYPL1,blue,-0.599383588960396,0.0480754576994669,down
ENSG00000008283,CYB561,blue,-0.678012538989496,0.0691488804750907,nc
ENSG00000008294,SPAG9,black,1.37267276861669,0.00301672244572563,up
ENSG00000008300,CELSR3,turquoise,NA,NA,nd
ENSG00000008311,AASS,blue,NA,NA,nd
ENSG00000008324,SS18L2,turquoise,-0.0694624364548164,0.819451790632196,nc
ENSG00000008382,MPND,brown,-0.915260764569961,0.0478344621537995,down
ENSG00000008405,CRY1,yellow,1.98256980464587,0.000644183137407623,up
ENSG00000008438,PGLYRP1,grey,NA,NA,nd
ENSG00000008441,NFIX,turquoise,NA,NA,nd
ENSG00000008513,ST3GAL1,blue,-1.03339192353249,0.00578964916077155,down
ENSG00000008516,MMP25,grey,NA,NA,nd
ENSG00000008517,IL32,turquoise,0.109036030883552,0.700839074820969,nc
ENSG00000008517,IL32,grey,0.109036030883552,0.700839074820969,nc
ENSG00000008710,PKD1,grey,0.875986692238339,0.0141279066022861,up
ENSG00000008735,MAPK8IP2,grey,NA,NA,nd
ENSG00000008838,MED24,turquoise,-0.225032224996796,0.417766681539414,nc
ENSG00000008853,RHOBTB2,brown,NA,NA,nd
ENSG00000008869,HEATR5B,blue,-1.35561867029239,0.00261019313546356,down
ENSG00000008952,SEC62,green,-0.0320478820648965,0.923275541128195,nc
ENSG00000008988,RPS20,green,-0.284343232427196,0.235970888018786,nc
ENSG00000009307,CSDE1,green,0.0722950494790101,0.807261163418812,nc
ENSG00000009335,UBE3C,turquoise,0.900574537103097,0.0130604227982251,up
ENSG00000009413,REV3L,yellow,0.0016814424768885,0.996342251908886,nc
ENSG00000009694,ODZ1,blue,NA,NA,nd
ENSG00000009780,FAM76A,blue,-0.692282118302855,0.038608088696817,down
ENSG00000009790,TRAF3IP3,blue,-2.15028735468572,0.000664145333437768,down
ENSG00000009830,POMT2,turquoise,0.426820726710407,0.212541866036512,nc
ENSG00000009844,VTA1,turquoise,0.442348678185631,0.156932585316303,nc
ENSG00000009954,BAZ1B,turquoise,-0.20471213980472,0.445297368103802,nc
ENSG00000010017,RANBP9,grey,-0.0798733957081735,0.79106210442775,nc
ENSG00000010017,RANBP9,black,-0.0798733957081735,0.79106210442775,nc
ENSG00000010030,ETV7,yellow,2.9281466450763,0.00036184820048908,up
ENSG00000010072,C1orf124,turquoise,0.133754177999159,0.657662320747935,nc
ENSG00000010165,METTL13,turquoise,0.808740025362111,0.0149613895136776,up
ENSG00000010219,DYRK4,turquoise,-0.179599166538781,0.518060558747024,nc
ENSG00000010244,ZNF207,green,1.04670599367719,0.0107726673671348,up
ENSG00000010256,UQCRC1,turquoise,-0.296470297053615,0.312542010673635,nc
ENSG00000010270,STARD3NL,turquoise,0.653895264895451,0.040792779364425,up
ENSG00000010278,CD9,grey,-0.343556971056104,0.319119593733495,nc
ENSG00000010292,NCAPD2,brown,-1.45390515377038,0.003587236510369,down
ENSG00000010295,IFFO1,blue,-1.22974018966406,0.00862382264436627,down
ENSG00000010310,GIPR,grey,-0.441827903462942,0.256625179690354,nc
ENSG00000010318,PHF7,blue,-0.215019708661417,0.491891667057067,nc
ENSG00000010319,SEMA3G,grey,NA,NA,nd
ENSG00000010322,NISCH,blue,-0.2758618943739,0.322838470630691,nc
ENSG00000010361,FUZ,brown,-1.07581566944489,0.0296756848351656,down
ENSG00000010379,SLC6A13,grey,NA,NA,nd
ENSG00000010404,IDS,black,-0.741951742495641,0.047524006443888,down
ENSG00000010539,ZNF200,green,-0.04129401474883,0.888624644035924,nc
ENSG00000010610,CD4,blue,-1.64320409749667,0.00160849949199374,down
ENSG00000010626,LRRC23,blue,NA,NA,nd
ENSG00000010671,BTK,grey,NA,NA,nd
ENSG00000010803,SCMH1,turquoise,-0.206685259437198,0.487188598214169,nc
ENSG00000010810,FYN,green,1.07585085350251,0.00719093520873518,up
ENSG00000010818,HIVEP2,green,1.16643407098104,0.00900958779201371,up
ENSG00000011007,TCEB3,yellow,0.72255746279074,0.032872889857337,up
ENSG00000011009,LYPLA2,turquoise,-0.314203709546425,0.288569213112021,nc
ENSG00000011021,CLCN6,brown,-0.288617243355279,0.433945846938859,nc
ENSG00000011028,MRC2,turquoise,NA,NA,nd
ENSG00000011114,BTBD7,green,0.660175887986809,0.0412628490253769,up
ENSG00000011132,APBA3,black,-0.100299339133913,0.711031671966697,nc
ENSG00000011143,MKS1,brown,-1.16788762772723,0.00861811081446492,down
ENSG00000011198,ABHD5,yellow,0.797413680353712,0.0228584265731936,up
ENSG00000011243,AKAP8L,blue,-0.672877509803488,0.0333212393144357,down
ENSG00000011258,MBTD1,red,-0.485120797400091,0.106742160803993,nc
ENSG00000011260,UTP18,yellow,1.1904192712623,0.00683944489181902,up
ENSG00000011275,RNF216,black,-0.325216212042119,0.234105151235874,nc
ENSG00000011295,TTC19,turquoise,0.473655015885082,0.117051940930984,nc
ENSG00000011304,PTBP1,yellow,1.08280499337389,0.00705192873196079,up
ENSG00000011376,LARS2,turquoise,0.263509803234101,0.353095378576119,nc
ENSG00000011405,PIK3C2A,turquoise,-0.0111389560062063,0.970473900972468,nc
ENSG00000011422,PLAUR,yellow,0.282563754747993,0.463691020830919,nc
ENSG00000011451,WIZ,yellow,NA,NA,nd
ENSG00000011454,RABGAP1,red,-0.344344509058143,0.205454644028793,nc
ENSG00000011478,QPCTL,turquoise,NA,NA,nd
ENSG00000011485,PPP5C,turquoise,0.870471709111118,0.0174344094335272,up
ENSG00000011523,CEP68,blue,-1.35150909598819,0.0038299656123075,down
ENSG00000011566,MAP4K3,green,0.637521235638537,0.0706940008230871,nc
ENSG00000011590,ZBTB32,turquoise,1.07140480926623,0.015083195139009,up
ENSG00000011600,TYROBP,grey,NA,NA,nd
ENSG00000011638,TMEM159,blue,-1.76910003643269,0.0011398720530842,down
ENSG00000012048,BRCA1,turquoise,NA,NA,nd
ENSG00000012061,ERCC1,turquoise,0.62979400391656,0.0510329267403452,nc
ENSG00000012124,CD22,grey,NA,NA,nd
ENSG00000012174,MBTPS2,brown,NA,NA,nd
ENSG00000012211,PRICKLE3,turquoise,NA,NA,nd
ENSG00000012232,EXTL3,brown,-0.284955772049559,0.415024062536315,nc
ENSG00000012660,ELOVL5,yellow,0.789963408787041,0.0332600700376251,up
ENSG00000012779,ALOX5,green,NA,NA,nd
ENSG00000012817,KDM5D,grey,-0.647581453536715,0.0344867447793667,down
ENSG00000012822,CALCOCO1,blue,-1.30821157469361,0.00226691592962704,down
ENSG00000012963,UBR7,brown,-1.02253429452313,0.0064151470001548,down
ENSG00000012983,MAP4K5,turquoise,0.401548709033979,0.203292074519822,nc
ENSG00000013016,EHD3,brown,NA,NA,nd
ENSG00000013275,PSMC4,turquoise,1.37593579103684,0.00228647742496454,up
ENSG00000013288,MAN2B2,blue,-0.810334491577552,0.0375693407584242,down
ENSG00000013297,CLDN11,grey,NA,NA,nd
ENSG00000013306,SLC25A39,turquoise,0.65691248145949,0.0401918589017366,up
ENSG00000013364,MVP,turquoise,-0.20699243421991,0.461075493019299,nc
ENSG00000013374,NUB1,blue,-1.0721523922734,0.00653365137427623,down
ENSG00000013375,PGM3,blue,-0.887409126039338,0.0129901712263763,down
ENSG00000013392,RWDD2A,blue,-1.21367579546501,0.00847680591728836,down
ENSG00000013441,CLK1,red,-0.154898499256685,0.635484891734822,nc
ENSG00000013503,POLR3B,turquoise,-0.616077791972982,0.0628643759249099,nc
ENSG00000013523,ANGEL1,grey,0.441585875219051,0.156325622836663,nc
ENSG00000013561,RNF14,brown,0.0245289538496271,0.938010186266872,nc
ENSG00000013563,DNASE1L1,brown,NA,NA,nd
ENSG00000013573,DDX11,brown,-0.752622231199998,0.0216513143405806,down
ENSG00000013583,HEBP1,brown,NA,NA,nd
ENSG00000013619,MAMLD1,yellow,NA,NA,nd
ENSG00000013725,CD6,black,-0.279638055212997,0.304813880829911,nc
ENSG00000013810,TACC3,blue,-1.43820893417021,0.00187965455644147,down
ENSG00000014123,UFL1,blue,-1.04070983427998,0.00579231556325894,down
ENSG00000014138,POLA2,brown,-0.324926847644422,0.310380892505658,nc
ENSG00000014164,ZC3H3,turquoise,NA,NA,nd
ENSG00000014216,CAPN1,brown,-1.32420122696967,0.00283585653666167,down
ENSG00000014641,MDH1,turquoise,0.062973039458006,0.840968706589552,nc
ENSG00000014824,SLC30A9,brown,-0.421660595458435,0.138473989158299,nc
ENSG00000014919,COX15,brown,-0.949537838272175,0.00827444405000305,down
ENSG00000015133,CCDC88C,blue,-0.862227750124257,0.0141042158181108,down
ENSG00000015133,CCDC88C,blue,-0.862227750124257,0.0141042158181108,down
ENSG00000015153,YAF2,black,-0.506272024495807,0.0816935064042567,nc
ENSG00000015171,ZMYND11,brown,-0.492221596853365,0.0808963229805122,nc
ENSG00000015285,WAS,brown,NA,NA,nd
ENSG00000015475,BID,yellow,0.792351890472094,0.0214512199171284,up
ENSG00000015479,MATR3,yellow,0.868069795363188,0.0175231426922391,up
ENSG00000015532,XYLT2,brown,-0.720529898363058,0.0413450069593725,down
ENSG00000015676,NUDCD3,brown,-0.756621073353906,0.027232116545828,down
ENSG00000016864,GLT8D1,brown,-0.602648673423695,0.0503034889889815,nc
ENSG00000017260,ATP2C1,turquoise,0.335855969627008,0.225933910133635,nc
ENSG00000017483,SLC38A5,turquoise,1.64379650418784,0.00402681287091862,up
ENSG00000017797,RALBP1,brown,-0.619843440800425,0.0433332875575459,down
ENSG00000018189,RUFY3,blue,-0.357617572234383,0.20161506121146,nc
ENSG00000018280,SLC11A1,grey,NA,NA,nd
ENSG00000018510,AGPS,turquoise,0.34248651332723,0.263446881750442,nc
ENSG00000018610,CXorf56,turquoise,0.391822107989578,0.151971898743197,nc
ENSG00000018699,TTC27,turquoise,1.03577194417632,0.00614573167370698,up
ENSG00000018869,ZNF582,grey,-0.305434317608327,0.322890157513321,nc
ENSG00000019102,VSIG2,grey,NA,NA,nd
ENSG00000019144,PHLDB1,yellow,0.258377958949379,0.465020573743109,nc
ENSG00000019169,MARCO,grey,NA,NA,nd
ENSG00000019485,PRDM11,blue,NA,NA,nd
ENSG00000019582,CD74,turquoise,-0.241949613894316,0.38198363134569,nc
ENSG00000019991,HGF,yellow,NA,NA,nd
ENSG00000019995,ZRANB1,red,-0.368446034341127,0.173554814585183,nc
ENSG00000020129,NCDN,turquoise,NA,NA,nd
ENSG00000020256,ZFP64,brown,-0.538795689860905,0.142789620563979,nc
ENSG00000020426,MNAT1,turquoise,0.654044399723741,0.0576764094496477,nc
ENSG00000020577,SAMD4A,yellow,3.07134118926844,0.000188882981737005,up
ENSG00000020633,RUNX3,yellow,0.533972033408285,0.0695720839209268,nc
ENSG00000020922,MRE11A,brown,-0.389040461613796,0.162838137929015,nc
ENSG00000021300,PLEKHB1,blue,-1.34149926078316,0.00367731597979153,down
ENSG00000021355,SERPINB1,turquoise,0.139608731499878,0.634369772254946,nc
ENSG00000021574,SPAST,brown,-0.994521481746999,0.00728033351998147,down
ENSG00000021762,OSBPL5,grey,NA,NA,nd
ENSG00000021776,AQR,turquoise,0.356964005511565,0.202480370620406,nc
ENSG00000022267,FHL1,blue,-0.959704404711446,0.0164205281786386,down
ENSG00000022277,C20orf43,turquoise,0.220876694718631,0.457933604573867,nc
ENSG00000022556,NLRP2,grey,NA,NA,nd
ENSG00000022567,SLC45A4,grey,-0.442640501983316,0.113686194750796,nc
ENSG00000022567,SLC45A4,yellow,-0.442640501983316,0.113686194750796,nc
ENSG00000022840,RNF10,turquoise,-0.452508701636373,0.122665865280821,nc
ENSG00000022976,ZNF839,brown,-0.686028835348566,0.0466888613183274,down
ENSG00000023041,ZDHHC6,blue,0.636895876699873,0.0465283497642221,up
ENSG00000023171,GRAMD1B,yellow,NA,NA,nd
ENSG00000023191,RNH1,turquoise,0.818587395052328,0.0179787091054058,up
ENSG00000023228,NDUFS1,brown,0.0242723580328543,0.938226882395077,nc
ENSG00000023287,RB1CC1,blue,-0.656682909391159,0.0392936835944465,down
ENSG00000023318,ERP44,turquoise,0.12106613316715,0.712231538715726,nc
ENSG00000023330,ALAS1,turquoise,-0.385899587562166,0.219336248732292,nc
ENSG00000023445,BIRC3,green,1.45372586840382,0.00200994815628801,up
ENSG00000023516,AKAP11,brown,-0.0100551290321002,0.975727356105191,nc
ENSG00000023572,GLRX2,brown,-0.970208212057019,0.00957789715211955,down
ENSG00000023608,SNAPC1,yellow,1.90625571865306,0.00080985793353133,up
ENSG00000023697,DERA,blue,-0.787029494580179,0.0228562436497188,down
ENSG00000023734,STRAP,yellow,1.02838895053425,0.0138305455268795,up
ENSG00000023839,ABCC2,blue,NA,NA,nd
ENSG00000023892,DEF6,blue,-1.92420636563014,0.00112074447762435,down
ENSG00000023902,PLEKHO1,black,-2.01728419298023,0.00116611151525852,down
ENSG00000023909,GCLM,turquoise,0.199871254039838,0.475585528543565,nc
ENSG00000024048,UBR2,brown,-0.845606409305099,0.0126344379680526,down
ENSG00000024422,EHD2,grey,-0.211599694716108,0.543180295226652,nc
ENSG00000024862,CCDC28A,blue,-1.62793746997507,0.00112447239546539,down
ENSG00000025039,RRAGD,turquoise,0.284160973918217,0.303462402912809,nc
ENSG00000025156,HSF2,brown,-0.380892627882756,0.160568059460499,nc
ENSG00000025293,PHF20,blue,-0.422324011375292,0.17802964833474,nc
ENSG00000025423,HSD17B6,blue,-1.59270081957932,0.00359600461094252,down
ENSG00000025708,TYMP,turquoise,0.61613293834909,0.0462527310446384,up
ENSG00000025770,NCAPH2,turquoise,0.589211191759077,0.0475753475388383,up
ENSG00000025772,TOMM34,turquoise,1.69001129390709,0.0011398720530842,up
ENSG00000025796,SEC63,turquoise,0.0814396063310029,0.774838231667387,nc
ENSG00000025800,KPNA6,turquoise,1.04141857811472,0.00636420202950633,up
ENSG00000026025,VIM,green,0.50299680981472,0.0855530500955215,nc
ENSG00000026036,RTEL1,turquoise,NA,NA,nd
ENSG00000026103,FAS,yellow,1.11873264912451,0.00584305546064965,up
ENSG00000026297,RNASET2,blue,-0.435112692150272,0.165098533596685,nc
ENSG00000026508,CD44,green,2.20158146207931,0.000917628118060469,up
ENSG00000026652,AGPAT4,black,0.147585078419486,0.666142505509562,nc
ENSG00000026751,SLAMF7,turquoise,0.613770291100678,0.0975015234312074,nc
ENSG00000026950,BTN3A1,blue,-1.64403907680974,0.00132233076532554,down
ENSG00000027001,MIPEP,turquoise,-0.128211887071662,0.701321904246079,nc
